Unnamed: 0,name,store,ing_info,calories,trans_fat,total_fat,saturated_fat,sodium,cholesterol,carbohydrate,dietary_fiber,protein,total_sugars,serve_ct,serve_size,labels
0,Thai Tea Mini Mochi,Trader Joes,"Water, Coconut Milk, Glucose Syrup, Mochi Starch (modified Tapioca Starch, Rice Flour, Sugar), Sugar, Thai Black Tea, Rice Bran Oil Shortening, Maltodextrin, Dextrose, Red Beet Juice Powder [color], Beta-carotene Color (vegetable Oil, Beta-carotene, Tocopherol & Ascorbyl Palmitate [antioxidants]), Guar Gum, Mono- And Diglycerides Of Fatty Acids, Locust Bean Gum, Xanthan Gum, Sea Salt. Contains Coconut. May Contain Traces Of Cashew.",210.0,0.0,5.0,3.0,50.0,0.0,39.0,0.0,1.0,22.0,2.0,6 Pieces (96g),
1,Halloween Gummies,Trader Joes,"Glucose Syrup (wheat), Sugar, Water, Pectin, Citric Acid (acidifier), Natural Flavors, For Color (black Carrot Extract, Apple Concentrate, Carrot Concentrate, Pumpkin Concentrate, Blackcurrant Concentrate, Spirulina Concentrate),confectionery Coating (coconut Oil, Canola Oil, Carnauba Wax). Contains Wheat, Coconut.",70.0,0.0,0.0,0.0,20.0,0.0,16.0,0.0,0.0,14.0,20.0,1 Mini Bag (20g),{'dairy free'}
2,Non-dairy Oat Beverages,Trader Joes,"Water, Hydrolyzed Oats. Shelf-stable Non-dairy Oat Beverage",110.0,0.0,2.0,0.0,25.0,0.0,22.0,3.0,2.0,4.0,4.0,1 Cup (240ml),{'dairy free'}
3,Corn Poblano Chowder,Trader Joes,"Water, Corn, Pasteurized Cream (cream, Milk), Cream Style Corn (corn, Water, Sugar, Modified Cornstarch, Salt), Potato, Peas, Poblano Pepper, Red Bell Pepper, Cilantro, Corn Flour (organic Yellow Corn Flour, Trace Of Lime), Potato Starch, Cornstarch, Vegetable Base (cooked Vegetables [carrots, Celery, Onions], Sea Salt, Cane Sugar, Canola Oil, Potato Flour, Natural Flavor, Maltodextrin, Carrot Powder), Sea Salt, Galic Powder, Red Pepper, Onion Powder. Contains Milk.",180.0,0.0,7.0,4.0,560.0,25.0,25.0,2.0,4.0,6.0,2.0,1 Cup (245g),
5,Super Sour Scandinavian Swimmers,Trader Joes,"Cane Sugar, Invert Sugar,tapioca Syrup, Modified Cornstarch, Citric Acid (acidulant), Dexttose, Natural Flavors, Palm Oil, Sodium, Citrate, Color Added (fruit Juice, Vegetable Juice, Spirulina Extract, Annatto Extract).. May Contain Traces Of Milk.",110.0,0.0,0.0,0.0,20.0,0.0,28.0,0.0,0.0,21.0,13.0,6 Pieces (30g),
6,Benne Wafer Cookies,Trader Joes,"Unbleached Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Cane Sugar, Palm Oil, Brown Sugar, Sesame Seeds, Eggs, Sea Salt, Natural Flavors, Baking Powder (cornstarch, Sodium Bicarbonate, Monocalcium Phosphate). Contains Egg, Wheat. May Contain Traces Of Milk, Soy, Almond, Coconut, Pecan.",130.0,0.0,7.0,2.0,140.0,5.0,17.0,1.0,2.0,12.0,7.0,11 Cookies (29g),
8,Sparkling Coconut Water With Yuzu,Trader Joes,"Coconut Water, Yuzu Purée, Carbon Dioxide, Citric Acid, Ascorbic Acid (for Freshness). Contains Coconut.",60.0,0.0,0.0,0.0,115.0,0.0,15.0,3.0,0.0,10.0,1.0,8.45 Fl. Oz. (250ml),{'dairy free'}
9,Ghost Chile Bbq Sauce,Trader Joes,"Water, Cane Sugar, Tomato Paste, White Distilled Vinegar, Molasses, Salt, Natural Smoke Flavor, Pineapple Juice Concentrate, Ghost Chile Puree (water, Dried Ghost Chile Pepper), Spices, Garlic Powder, Onion Powder, Xanthan Gum.",50.0,0.0,0.0,0.0,280.0,0.0,12.0,0.0,0.0,10.0,16.0,2 Tbsp. (35g),{'dairy free'}
10,Quiche Lorraine,Trader Joes,"Egg, Milk, Enriched Wheat Flour (wheat Flour, Niacin, Tron, Thiamin Mononitrate, Riboflavin, Folate), Uncured Ham (pork, Water, Sea Salt, Natural Flavors, Sugar [contains No Nitrates Or Nitrites Added Except Those Naturally Occurring In Sea Salt And Celery Juice]), Heavy Cream, Swiss Cheese (part Skin Milk, Cheese Culture, Salt, Microbial Rennet), Butter (milk, Natural Flavors), Water, Salt, Red Wine Vinegar, Dough Conditioner (wheat Gluten, Malted Wheat Flour, Yeast, Enzymes, Ascorbic Acid), Pepper. Contains Wheat, Milk, Egg.",200.0,0.0,13.0,7.0,370.0,120.0,11.0,0.0,9.0,0.0,4.0,1/4 Quiche (85g/3oz),
11,Dark Chocolate Sunflower Seed Butter Cups,Trader Joes,"Dark Chocolate†** (cocoa Mass, Cane Sugar, Cocoa Butter), Sunflower Seeds, Powdered Sugar (cane Sugar†, Tapioca Starch), Cocoa Butter†, Sea Salt. †fair Trade Certified™ By Fair Trade Usa. **cocoa Solids 50% Minimum.",230.0,0.0,18.0,7.0,95.0,0.0,16.0,3.0,4.0,11.0,1.0,2 Pieces (40g),{'dairy free'}
